lang,lang_abv,commonName,simplifiedName,numFullNames,numLineNames
"Korean (한국어, 조선어)",ko,연보라색,연보라색,372,7
"Korean (한국어, 조선어)",ko,파랑색,파랑색,366,164
"Korean (한국어, 조선어)",ko,분홍색,분홍색,361,66
"Korean (한국어, 조선어)",ko,청록색,청록색,325,33
"Korean (한국어, 조선어)",ko,남색,남색,307,15
"Korean (한국어, 조선어)",ko,녹색,녹색,273,9
"Korean (한국어, 조선어)",ko,파란색,파란색,254,85
"Korean (한국어, 조선어)",ko,주황색,주황색,244,136
"Korean (한국어, 조선어)",ko,황토색,황토색,188,6
"Korean (한국어, 조선어)",ko,빨강색,빨강색,182,99
"Korean (한국어, 조선어)",ko,풀색,풀색,169,2
"Korean (한국어, 조선어)",ko,민트색,민트색,148,17
"Korean (한국어, 조선어)",ko,검정색,검정색,137,0
"Korean (한국어, 조선어)",ko,회색,회색,132,0
"Korean (한국어, 조선어)",ko,에메랄드색,에메랄드색,129,28
"Korean (한국어, 조선어)",ko,핑크색,핑크색,119,25
"Korean (한국어, 조선어)",ko,군청색,군청색,119,10
"Korean (한국어, 조선어)",ko,다홍색,다홍색,116,37
"Korean (한국어, 조선어)",ko,진분홍색,진분홍색,111,35
"Korean (한국어, 조선어)",ko,빨간색,빨간색,105,42
"Korean (한국어, 조선어)",ko,노랑색,노랑색,104,70
"Korean (한국어, 조선어)",ko,고동색,고동색,103,0
"Korean (한국어, 조선어)",ko,진보라색,진보라색,99,1
"Korean (한국어, 조선어)",ko,살구색,살구색,90,0
"Korean (한국어, 조선어)",ko,형광연두색,형광연두색,89,35
"Korean (한국어, 조선어)",ko,진녹색,진녹색,87,0
"Korean (한국어, 조선어)",ko,카키색,카키색,86,0
"Korean (한국어, 조선어)",ko,연녹색,연녹색,82,4
"Korean (한국어, 조선어)",ko,핫핑크색,핫핑크색,80,19
"Korean (한국어, 조선어)",ko,올리브색,올리브색,79,0
"Korean (한국어, 조선어)",ko,연분홍색,연분홍색,78,2
"Korean (한국어, 조선어)",ko,노란색,노란색,74,39
"Korean (한국어, 조선어)",ko,옥색,옥색,69,21
"Korean (한국어, 조선어)",ko,베이지색,베이지색,68,0
"Korean (한국어, 조선어)",ko,적갈색,적갈색,68,0
"Korean (한국어, 조선어)",ko,겨자색,겨자색,65,3
"Korean (한국어, 조선어)",ko,연갈색,연갈색,60,0
"Korean (한국어, 조선어)",ko,형광보라색,형광보라색,52,5
"Korean (한국어, 조선어)",ko,마젠타색,마젠타색,49,9
"Korean (한국어, 조선어)",ko,검은색,검은색,46,0
"Korean (한국어, 조선어)",ko,형광초록색,형광초록색,45,7
"Korean (한국어, 조선어)",ko,진초록색,진초록색,45,0
"Korean (한국어, 조선어)",ko,밝은보라색,밝은보라색,44,5
"Korean (한국어, 조선어)",ko,짙은녹색,짙은녹색,43,0
"Korean (한국어, 조선어)",ko,청색,청색,41,11
"Korean (한국어, 조선어)",ko,라임색,라임색,39,15
"Korean (한국어, 조선어)",ko,연초록색,연초록색,38,12
"Korean (한국어, 조선어)",ko,자홍색,자홍색,36,11
"Korean (한국어, 조선어)",ko,밝은연두색,밝은연두색,35,12
"Korean (한국어, 조선어)",ko,살색,살색,35,0
"Korean (한국어, 조선어)",ko,상아색,상아색,34,2
"Korean (한국어, 조선어)",ko,연파랑색,연파랑색,33,20
"Korean (한국어, 조선어)",ko,바다색,바다색,33,13
"Korean (한국어, 조선어)",ko,형광녹색,형광녹색,33,7
"Korean (한국어, 조선어)",ko,금색,금색,33,1
"Korean (한국어, 조선어)",ko,쑥색,쑥색,33,0
"Korean (한국어, 조선어)",ko,벽돌색,벽돌색,33,0
"Korean (한국어, 조선어)",ko,짙은보라색,짙은보라색,33,0
"Korean (한국어, 조선어)",ko,개나리색,개나리색,32,19
"Korean (한국어, 조선어)",ko,진홍색,진홍색,31,13
"Korean (한국어, 조선어)",ko,코발트블루색,코발트블루색,31,1
"Korean (한국어, 조선어)",ko,청보라색,청보라색,30,0
"Korean (한국어, 조선어)",ko,형광하늘색,형광하늘색,29,8
"Korean (한국어, 조선어)",ko,짙은 초록색,짙은초록색,29,0
"Korean (한국어, 조선어)",ko,남보라색,남보라색,28,2
"Korean (한국어, 조선어)",ko,진청색,진청색,28,0
"Korean (한국어, 조선어)",ko,연노랑색,연노랑색,27,5
"Korean (한국어, 조선어)",ko,청녹색,청녹색,27,2
"Korean (한국어, 조선어)",ko,황갈색,황갈색,27,0
"Korean (한국어, 조선어)",ko,청회색,청회색,27,0
"Korean (한국어, 조선어)",ko,와인색,와인색,26,0
