lang,name,avgColorRGBCode,binPctCnt,totalColorFraction,langAbv,commonName,avgL,avgA,avgB,numFullNames,numLineNames
English (English),shamrock,"rgb(57, 199, 68)",0.11417926451643087,0.00008997577976078074,en,shamrock,70.99999999999999,-58,51.99999999999999,18,2
English (English),lightneongreen,"rgb(125, 251, 128)",0.10455433029703978,0.00008239111922540558,en,light neon green,89.50000000000001,-54.999999999999986,47.5,14,6
English (English),lightlime,"rgb(184, 243, 138)",0.13665341164611428,0.00010768590358243827,en,light lime,90,-32.49999999999999,44,15,5
English (English),darklimegreen,"rgb(115, 208, 47)",0.09650250446345912,0.00007604610280808435,en,dark lime green,75.49999999999999,-48.00000000000001,64.5,15,5
English (English),robineggblue,"rgb(103, 205, 214)",0.11949500361046402,0.00009416469945663034,en,robin egg blue,76.49999999999997,-29,-14.5,14,6
English (English),darkindigo,"rgb(60, 48, 105)",0.22519856455771217,0.0001774614377917352,en,dark indigo,23.499999999999996,17.500000000000004,-32,19,1
English (English),verydarkblue,"rgb(33, 30, 93)",0.2875236036323498,0.00022657494376071674,en,very dark blue,15.000000000000004,18.500000000000007,-38.5,17,3
English (English),electricpink,"rgb(236, 57, 206)",0.10261821716869236,0.00008086541936067161,en,electric pink,57.5,77,-37.50000000000001,16,4
English (English),coralpink,"rgb(243, 97, 102)",0.18622079649427822,0.0001467460965281939,en,coral pink,61,57.5,28.000000000000007,19,1
English (English),rubyred,"rgb(200, 43, 69)",0.18261675618083845,0.00014390603323943127,en,ruby red,45.500000000000014,61.499999999999986,26.000000000000007,16,4
English (English),muave,"rgb(166, 96, 123)",0.20486775233884313,0.00016144030917166505,en,muave,49.5,32,-2.5,20,0
English (English),fadedpurple,"rgb(149, 118, 166)",0.279747934789464,0.00022044754514536152,en,faded purple,54.000000000000014,19.500000000000007,-20.999999999999996,20,0
English (English),bluishgray,"rgb(131, 154, 166)",0.1887492340272258,0.0001487385610931644,en,bluish grey,62,-6,-9.5,20,0
English (English),mustardgreen,"rgb(173, 182, 53)",0.14823100337323009,0.00011680930131854212,en,mustard green,71.49999999999997,-15,60.5,20,0
English (English),lightolivegreen,"rgb(172, 186, 99)",0.17494826762835258,0.00013786309505780332,en,light olive green,72.99999999999999,-15.000000000000002,42.000000000000014,20,0
English (English),avocado,"rgb(149, 184, 89)",0.1536647618790459,0.00012109122291492968,en,avocado,70.49999999999999,-23.500000000000007,43.50000000000001,20,0
English (English),mudbrown,"rgb(129, 100, 46)",0.23239865648485158,0.00018313526909759763,en,mud brown,44.50000000000002,7.5,34.5,20,0
English (English),lightyellowgreen,"rgb(198, 242, 110)",0.16538726552103028,0.000130328814437376,en,light yellow green,90.52631578947368,-29.473684210526315,57.89473684210527,14,5
English (English),melon,"rgb(202, 200, 119)",0.14396860563043154,0.00011345043784903972,en,melon,79.4736842105263,-7.8947368421052655,40.52631578947367,15,4
English (English),neonteal,"rgb(77, 247, 206)",0.0811867576557101,0.00006397695638747835,en,neon teal,87.89473684210526,-52.10526315789473,6.315789473684211,15,4
English (English),fuchsiapink,"rgb(236, 58, 174)",0.08426999347827083,0.00006640661424607624,en,fuchsia pink,56.315789473684234,73.68421052631578,-21.052631578947366,15,4
English (English),greenish,"rgb(131, 204, 121)",0.14076077776231088,0.00011092259870946474,en,greenish,75.78947368421052,-35.78947368421053,33.68421052631579,17,2
English (English),brownorange,"rgb(203, 114, 35)",0.14699408798796848,0.00011583458470289074,en,brown orange,57.36842105263158,32.10526315789474,55.78947368421054,18,1
English (English),carnationpink,"rgb(244, 151, 189)",0.30651984891835826,0.00024154440419098345,en,carnation pink,73.15789473684208,39.47368421052631,-4.2105263157894735,19,0
English (English),oceangreen,"rgb(72, 174, 130)",0.12084977282187828,0.00009523228748768966,en,ocean green,64.21052631578948,-38.94736842105264,13.157894736842106,17,2
English (English),junglegreen,"rgb(72, 139, 61)",0.14987055756519116,0.00011810130619794407,en,jungle green,52.10526315789473,-34.210526315789465,34.21052631578946,19,0
English (English),oxblood,"rgb(129, 36, 36)",0.23215637147549303,0.00018294434316429693,en,oxblood,30,39.99999999999999,24.21052631578948,19,0
English (English),powderpink,"rgb(237, 165, 202)",0.1948622028662421,0.00015355571541863036,en,powder pink,75.7894736842105,31.052631578947363,-7.368421052631577,19,0
English (English),deepviolet,"rgb(94, 35, 120)",0.17879711029122342,0.00014089606799938791,en,deep violet,26.31578947368421,37.89473684210526,-37.368421052631575,18,1
English (English),purplebrown,"rgb(107, 62, 77)",0.2366751789275968,0.0001865052631423141,en,purple brown,32.10526315789474,22.105263157894733,-0.5263157894736842,19,0
English (English),grayishbrown,"rgb(143, 125, 109)",0.22820325246063702,0.0001798291981565302,en,greyish brown,53.684210526315795,5.263157894736842,11.578947368421053,19,0
English (English),warmbrown,"rgb(134, 74, 30)",0.23389452910909372,0.00018431404973135818,en,warm brown,38.42105263157894,23.157894736842103,36.84210526315789,19,0
English (English),chartruese,"rgb(188, 210, 77)",0.08435321183799244,0.00006647219214971817,en,chartruese,80.55555555555557,-20.555555555555557,60.55555555555556,12,6
English (English),verylightgreen,"rgb(178, 247, 172)",0.21149435725511212,0.00016666222005918985,en,very light green,91.11111111111113,-32.77777777777778,28.88888888888889,17,1
English (English),primaryblue,"rgb(47, 70, 219)",0.08683766354832043,0.00006842999491593408,en,primary blue,36.666666666666664,34.44444444444444,-79.99999999999999,15,3
English (English),honey,"rgb(223, 164, 37)",0.0872599417868611,0.00006876275948531207,en,honey,71.66666666666669,15.000000000000002,67.77777777777779,12,6
English (English),vibrantpurple,"rgb(142, 43, 216)",0.11871783937136042,0.00009355227688838481,en,vibrant purple,41.11111111111111,62.222222222222214,-70.55555555555554,15,3
English (English),darkmint,"rgb(92, 190, 138)",0.1171594016021697,0.00009232419353992876,en,dark mint,69.99999999999999,-39.44444444444444,17.222222222222225,16,2
English (English),darkergreen,"rgb(69, 151, 77)",0.11210762762586289,0.00008834328418113695,en,darker green,56.11111111111113,-38.33333333333332,31.111111111111104,16,2
English (English),darkmustard,"rgb(185, 143, 38)",0.2707730781226594,0.00021337516006513722,en,dark mustard,62.22222222222221,9.444444444444445,57.77777777777777,16,2
English (English),deepmagenta,"rgb(158, 35, 102)",0.15305664163314125,0.00012061201074321601,en,deep magenta,37.22222222222223,53.88888888888889,-7.777777777777778,17,1
English (English),scarletred,"rgb(207, 29, 41)",0.0900021591263949,0.00007092368725484225,en,scarlet red,45.55555555555556,66.11111111111111,43.33333333333333,16,2
English (English),velvet,"rgb(167, 58, 92)",0.14638803293219566,0.00011535699994656858,en,velvet,41.66666666666665,47.77777777777778,5.555555555555555,16,2
English (English),leafygreen,"rgb(97, 167, 45)",0.27235872385388876,0.00021462468388801302,en,leafy green,62.22222222222222,-38.33333333333333,52.22222222222222,17,1
English (English),blueblack,"rgb(33, 39, 79)",0.19864455965900799,0.00015653629602758692,en,blue black,16.66666666666667,7.777777777777777,-26.11111111111111,18,0
English (English),tomatored,"rgb(231, 59, 33)",0.09472532987940381,0.00007464565002317079,en,tomato red,52.94117647058823,65.29411764705881,55.29411764705883,13,4
English (English),azureblue,"rgb(58, 136, 224)",0.05540170412394712,0.00004365776526709777,en,azure blue,55.29411764705883,-1.764705882352942,-52.35294117647059,13,4
English (English),deepseablue,"rgb(49, 71, 183)",0.11323151787939222,0.00008922893449912696,en,deep sea blue,34.117647058823515,22.941176470588232,-62.941176470588225,13,4
English (English),slimegreen,"rgb(151, 236, 83)",0.0916228921484652,0.00007220086063708835,en,slime green,85.88235294117646,-45.29411764705881,62.94117647058823,13,4
English (English),idk,"rgb(177, 148, 120)",0.17603904140912485,0.00013872264886455847,en,idk,63.52941176470587,8.235294117647058,19.411764705882355,17,0
