lang,lang_abv,simplifiedName,commonName,avgHueColor,cnt
English (English),en,seafoam,seafoam,"rgb(0, 255, 174)",140
English (English),en,mustard,mustard,"rgb(255, 201, 0)",138
English (English),en,lightpurple,light purple,"rgb(247, 0, 255)",137
English (English),en,seagreen,sea green,"rgb(0, 255, 171)",137
English (English),en,brightblue,bright blue,"rgb(0, 184, 255)",127
English (English),en,goldenrod,goldenrod,"rgb(255, 196, 0)",125
English (English),en,mediumblue,medium blue,"rgb(0, 128, 255)",119
English (English),en,neonyellow,neon yellow,"rgb(224, 255, 0)",117
English (English),en,neonblue,neon blue,"rgb(0, 241, 255)",115
English (English),en,bluegreen,blue green,"rgb(0, 255, 197)",114
English (English),en,rose,rose,"rgb(255, 0, 113)",108
English (English),en,darkyellow,dark yellow,"rgb(255, 210, 0)",101
"Finnish (suomi, suomen kieli)",fi,sininen,sininen,"rgb(0, 118, 255)",110
"Finnish (suomi, suomen kieli)",fi,oranssi,oranssi,"rgb(255, 136, 0)",71
"Finnish (suomi, suomen kieli)",fi,vihrea,vihreä,"rgb(0, 255, 36)",63
"Finnish (suomi, suomen kieli)",fi,punainen,punainen,"rgb(255, 0, 43)",55
"Finnish (suomi, suomen kieli)",fi,turkoosi,turkoosi,"rgb(0, 255, 231)",49
"Finnish (suomi, suomen kieli)",fi,keltainen,keltainen,"rgb(255, 237, 0)",48
"Finnish (suomi, suomen kieli)",fi,violetti,violetti,"rgb(214, 0, 255)",46
"Finnish (suomi, suomen kieli)",fi,pinkki,pinkki,"rgb(255, 0, 159)",43
"Finnish (suomi, suomen kieli)",fi,vaaleansininen,vaaleansininen,"rgb(0, 222, 255)",43
"Finnish (suomi, suomen kieli)",fi,tummansininen,tummansininen,"rgb(0, 57, 255)",21
"Finnish (suomi, suomen kieli)",fi,liila,liila,"rgb(222, 0, 255)",17
"Finnish (suomi, suomen kieli)",fi,vaaleanvihrea,vaaleanvihreä,"rgb(69, 255, 0)",14
"Finnish (suomi, suomen kieli)",fi,taivaansininen,taivaansininen,"rgb(0, 190, 255)",13
"Finnish (suomi, suomen kieli)",fi,magenta,magenta,"rgb(255, 0, 222)",12
"Finnish (suomi, suomen kieli)",fi,lime,lime,"rgb(152, 255, 0)",10
"Finnish (suomi, suomen kieli)",fi,syaani,syaani,"rgb(0, 203, 255)",10
"Finnish (suomi, suomen kieli)",fi,kirkkaanvihrea,kirkkaanvihreä,"rgb(0, 255, 54)",8
"French (français, langue française)",fr,bleu,bleu,"rgb(0, 137, 255)",297
"French (français, langue française)",fr,vert,vert,"rgb(0, 255, 76)",210
